Species	Balaenoptera physalus			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	391			
No. of DNA sequences	341			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	Archer, F. I., Morin, P. A., Hancock-Hanser, B. L., Robertson, K. M., Leslie, M. S., Bérubé, M., . . . Taylor, B. L. (2013). Mitogenomic Phylogenetics of Fin Whales: Genetic Evidence for Revision of Subspecies. PLoS One, 8(5), e63396. doi: 10.1371/journal.pone.0063396	Eastern US seaborder, Antarctica	Summer feeding area	https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.084g8
2	This study	Eastern US and Canadian seaborder	Summer feeding area	
				
Migrate data file name	Bphysalus_341mtDNA_391bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Bphy0547	North	2		
Bphy0548	North	2		
Bphy0549	North	2		
Bphy0550	North	2		
Bphy0551	North	2		
Bphy0552	North	2		
Bphy0553	North	2		
Bphy0554	North	2		
Bphy0555	North	2		
Bphy0556	North	2		
Bphy0557	North	2		
Bphy0558	North	2		
Bphy0559	North	2		
Bphy0560	North	2		
Bphy0561	North	2		
Bphy0562	North	2		
Bphy0563	North	2		
Bphy0564	North	2		
Bphy0565	North	2		
Bphy0566	North	2		
Bphy0567	North	2		
Bphy0568	North	2		
Bphy0569	North	2		
Bphy0570	North	2		
Bphy0571	North	2		
Bphy0572	North	2		
Bphy0573	North	2		
Bphy0574	North	2		
Bphy0575	North	2		
Bphy0576	North	2		
Bphy0577	North	2		
Bphy0578	North	2		
Bphy0579	North	2		
Bphy0580	North	2		
Bphy0581	North	2		
Bphy0582	North	2		
Bphy0583	North	2		
Bphy0584	North	2		
Bphy0585	North	2		
Bphy0586	North	2		
Bphy0587	North	2		
Bphy0588	North	2		
Bphy0589	North	2		
Bphy0590	North	2		
Bphy0591	North	2		
Bphy0592	North	2		
Bphy0593	North	2		
Bphy0594	North	2		
Bphy0595	North	2		
Bphy0596	North	2		
Bphy0597	North	2		
Bphy0598	North	2		
Bphy0599	North	2		
Bphy0600	North	2		
Bphy0601	North	2		
Bphy0602	North	2		
Bphy0603	North	2		
Bphy0604	North	2		
Bphy0605	North	2		
Bphy0606	North	2		
Bphy0607	North	2		
Bphy0608	North	2		
Bphy0609	North	2		
Bphy0610	North	2		
Bphy0611	North	2		
Bphy0612	North	2		
Bphy0613	North	2		
