Species	Balaenoptera acutorostrata			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	322			
No. of DNA sequences	952			
				
Source_referencess		Sample areas	Habitat	Links to source data files
1	Pastene, L. A., Goto, M., Kanda, N., Zerbini, A. N., Kerem, D., Watanabe, K., … Palsbøll, P. J. (2007). Radiation and speciation of pelagic organisms during periods of global warming: The case of the common minke whale, Balaenoptera acutorostrata. Molecular Ecology, 16(7), 1481–1495. doi: 10.1111/j.1365-294X.2007.03244.x	Brazil	Winter breeding area	GenBank
2	This study	Eastern Canadian seaborder, West Greenland, Iceland, Barents Sea, Central and eeastern North	Summer feeding areas 	
				
Migrate data file name	Bacutorostrata_954mtDNA_322bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Bacu1240	North	2		
Bacu1241	North	2		
Bacu1242	North	2		
Bacu1243	North	2		
Bacu1244	North	2		
Bacu1245	North	2		
Bacu1246	North	2		
Bacu1247	North	2		
Bacu1248	North	2		
Bacu1249	North	2		
Bacu1250	North	2		
Bacu1251	North	2		
Bacu1252	North	2		
Bacu1253	North	2		
Bacu1254	North	2		
Bacu1255	North	2		
Bacu1256	North	2		
Bacu1257	North	2		
Bacu1258	North	2		
Bacu1259	North	2		
Bacu1260	North	2		
Bacu1261	North	2		
Bacu1262	North	2		
Bacu1263	North	2		
Bacu1264	North	2		
Bacu1265	North	2		
Bacu1266	North	2		
Bacu1267	North	2		
Bacu1268	North	2		
Bacu1269	North	2		
Bacu1270	North	2		
Bacu1271	North	2		
Bacu1272	North	2		
Bacu1273	North	2		
Bacu1274	North	2		
Bacu1275	North	2		
Bacu1276	North	2		
Bacu1277	North	2		
Bacu1278	North	2		
Bacu1279	North	2		
Bacu1280	North	2		
Bacu1281	North	2		
Bacu1282	North	2		
Bacu1283	North	2		
Bacu1284	North	2		
Bacu1285	North	2		
Bacu1286	North	2		
Bacu1287	North	2		
Bacu1288	North	2		
Bacu1289	North	2		
Bacu1290	North	2		
Bacu1291	North	2		
Bacu1292	North	2		
Bacu1293	North	2		
Bacu1294	North	2		
Bacu1295	North	2		
Bacu1296	North	2		
Bacu1297	North	2		
Bacu1298	North	2		
Bacu1299	North	2		
Bacu1300	North	2		
Bacu1301	North	2		
Bacu1302	North	2		
Bacu1303	North	2		
Bacu1304	North	2		
Bacu1305	North	2		
Bacu1306	North	2		
Bacu1307	North	2		
Bacu1308	North	2		
Bacu1309	North	2		
Bacu1310	North	2		
Bacu1311	North	2		
Bacu1312	North	2		
Bacu1313	North	2		
Bacu1314	North	2		
Bacu1315	North	2		
Bacu1316	North	2		
Bacu1317	North	2		
Bacu1318	North	2		
Bacu1319	North	2		
Bacu1320	North	2		
Bacu1321	North	2		
Bacu1322	North	2		
Bacu1323	North	2		
Bacu1324	North	2		
Bacu1325	North	2		
Bacu1326	North	2		
Bacu1327	North	2		
Bacu1328	North	2		
Bacu1329	North	2		
Bacu1330	North	2		
Bacu1331	North	2		
