Species	Megaptera novaeangliae			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	1586			
No. of DNA sequences	396			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	Jackson, J. A., Steel, D. J., Beerli, P., Congdon, B. C., Olavarria, C., Leslie, M. S., … Baker, C. S. (2014). Global diversity and oceanic divergence of humpback whales (\emph{Megaptera novaeangliae}). Proceedings of the Royal Society of London B Biological Sciences, 281(1786), 20133222. doi: 10.1098/rspb.2013.3222	South Atlantic Ocean	Winter breeding grounds	Dr. Jennifer Jackson, Personal communication 
2	This study	western North Atlantic Ocean	Winter breeding ground	
				
Migrate data file name	Mnovaeanliae_1586mtDNA_396bp_20170902_Migrate_2pop.txt			
Results figure(s)	4, S1 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Mnov1650	South	1		72C3_1
Mnov1651	South	1		72C3_2
Mnov1652	South	1		72C3_3
Mnov1653	South	1		72C3_4
Mnov1654	South	1		73B1_1
Mnov1655	South	1		73B1_2
Mnov1656	South	1		73B1_3
Mnov1657	South	1		73B1_4
Mnov1658	South	1		73B1_5
Mnov1659	South	1		73B1_6
Mnov1660	South	1		73B1_7
Mnov1661	South	1		74B1_1
Mnov1662	South	1		75B1_1
Mnov1663	South	1		76B1_1
Mnov1664	South	1		77B1_1
Mnov1665	South	1		77B1_2
Mnov1666	South	1		77B1_3
Mnov1667	South	1		77B1_4
Mnov1668	South	1		77B1_5
Mnov1669	South	1		77B1_6
Mnov1670	South	1		77B1_7
Mnov1671	South	1		77B1_8
Mnov1672	South	1		77C3_1
Mnov1673	South	1		77C3_2
Mnov1674	South	1		77C3_3
Mnov1675	South	1		77C3_4
Mnov1676	South	1		78B1_1
Mnov1677	South	1		78B1_2
Mnov1678	South	1		78C3_1
Mnov1679	South	1		79B1_1
Mnov1680	South	1		79B1_2
Mnov1681	South	1		79C3_1
Mnov1682	South	1		81B1_1
Mnov1683	South	1		81B1_2
Mnov1684	South	1		82B1_1
Mnov1685	South	1		82B1_2
Mnov1686	South	1		82B1_3
Mnov1687	South	1		82B1_4
Mnov1688	South	1		83B1_1
Mnov1689	South	1		85B1_1
Mnov1690	South	1		86B1_1
Mnov1691	South	1		87B1_1
Mnov1692	South	1		87C3_1
Mnov1693	South	1		87C3_2
Mnov1694	South	1		87C3_3
Mnov1695	South	1		87C3_4
Mnov1696	South	1		87C3_5
Mnov1697	South	1		87C3_6
Mnov1698	South	1		87C3_7
Mnov1699	South	1		87C3_8
Mnov1700	South	1		87C3_9
Mnov1701	South	1		87C3_10
Mnov1702	South	1		87C3_11
Mnov1703	South	1		88B1_1
Mnov1704	South	1		89B1_1
Mnov1705	South	1		89B1_2
Mnov1706	South	1		91B1_1
Mnov1707	South	1		BR98_003_1
Mnov1708	South	1		SP1_1
Mnov1709	South	1		SP1_2
Mnov1710	South	1		SP1_3
Mnov1711	South	1		SP1_4
Mnov1712	South	1		SP1_5
Mnov1713	South	1		SP1_6
Mnov1714	South	1		SP1_7
Mnov1715	South	1		SP1_8
Mnov1716	South	1		SP1_9
Mnov1717	South	1		SP1_10
Mnov1718	South	1		SP1_11
Mnov1719	South	1		SP1_12
Mnov1720	South	1		SP1_13
Mnov1721	South	1		SP1_14
Mnov1722	South	1		SP1_15
Mnov1723	South	1		SP1_16
Mnov1724	South	1		SP1_17
Mnov1725	South	1		SP1_18
Mnov1726	South	1		SP1_19
Mnov1727	South	1		SP1_20
Mnov1728	South	1		SP1_21
Mnov1729	South	1		SP1_22
Mnov1730	South	1		SP1_23
Mnov1731	South	1		SP1_24
Mnov1732	South	1		SP1_25
Mnov1733	South	1		SP1_26
Mnov1734	South	1		SP1_27
Mnov1735	South	1		SP1_28
Mnov1736	South	1		SP1_29
Mnov1737	South	1		SP1_30
Mnov1738	South	1		SP1_31
Mnov1739	South	1		SP1_32
Mnov1740	South	1		SP1_33
Mnov1741	South	1		SP1_34
Mnov1742	South	1		SP10_1
Mnov1743	South	1		SP10_2
Mnov1744	South	1		SP10_3
Mnov1745	South	1		SP10_4
Mnov1746	South	1		SP102_1
Mnov1747	South	1		SP102_2
Mnov1748	South	1		SP107_1
Mnov1749	South	1		SP107_2
Mnov1750	South	1		SP107_3
Mnov1751	South	1		SP107_4
Mnov1752	South	1		SP107_5
Mnov1753	South	1		SP107_6
Mnov1754	South	1		SP107_7
Mnov1755	South	1		SP107_8
Mnov1756	South	1		SP107_9
Mnov1757	South	1		SP108_1
Mnov1758	South	1		SP108_2
Mnov1759	South	1		SP108_3
Mnov1760	South	1		SP108_4
Mnov1761	South	1		SP108_5
Mnov1762	South	1		SP108_6
Mnov1763	South	1		SP108_7
Mnov1764	South	1		SP108_8
Mnov1765	South	1		SP108_9
Mnov1766	South	1		SP108_10
Mnov1767	South	1		SP108_11
Mnov1768	South	1		SP108_12
Mnov1769	South	1		SP108_13
Mnov1770	South	1		SP108_14
Mnov1771	South	1		SP108_15
Mnov1772	South	1		SP108_16
Mnov1773	South	1		SP108_17
Mnov1774	South	1		SP108_18
Mnov1775	South	1		SP108_19
Mnov1776	South	1		SP108_20
Mnov1777	South	1		SP108_21
Mnov1778	South	1		SP108_22
Mnov1779	South	1		SP108_23
Mnov1780	South	1		SP108_24
Mnov1781	South	1		SP108_25
Mnov1782	South	1		SP108_26
Mnov1783	South	1		SP108_27
Mnov1784	South	1		SP108_28
Mnov1785	South	1		SP108_29
Mnov1786	South	1		SP108_30
Mnov1787	South	1		SP108_31
Mnov1788	South	1		SP108_32
Mnov1789	South	1		SP108_33
Mnov1790	South	1		SP113_1
Mnov1791	South	1		SP113_2
Mnov1792	South	1		SP113_3
Mnov1793	South	1		SP113_4
Mnov1794	South	1		SP113_5
Mnov1795	South	1		SP113_6
Mnov1796	South	1		SP113_7
Mnov1797	South	1		SP113_8
Mnov1798	South	1		SP113_9
Mnov1799	South	1		SP13_1
Mnov1800	South	1		SP13_2
Mnov1801	South	1		SP13_3
