Species	Eubalaena spp. (Eaus: E. australis; Egla: E. glacialis)			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	391			
No. of DNA sequences	341			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	This study	South Atlantic	Winter breeding area	
2	Valenzuela, L. O., Sironi, M., Rowntree, V. J., & Seger, J. (2009). Isotopic and genetic evidence for culturally inherited site fidelity to feeding grounds in southern right whales (Eubalaena australis). Molecular Ecology, 18(5), 782–791. doi: 10.1111/j.1365-294X.2008.04069.x	Argentina	Winter breeding area	GenBank
3	Malik, S., Brown, M. W., Kraus, S. D., Knowlton, A. R., Hamilton, P. K., & White, B. N. (1999). Assessment of mitochondrial DNA structuring and nursery use in the North right whale (Eubalaena glacialis). Canadian Journal of Zoology, 77(8), 1217–1222. doi: 10.1139/z99-073	eastern US & Canadian sea border	Summer nursing & feeding area	GenBank
				
Migrate data file name	Eubalaena_750mtDNA_381bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Eaus0215	South	1		
Eaus0216	South	1		
Eaus0217	South	1		
Eaus0218	South	1		
Eaus0219	South	1		
Eaus0220	South	1		
Eaus0221	South	1		
Eaus0222	South	1		
Eaus0223	South	1		
Eaus0224	South	1		
Eaus0225	South	1		
Eaus0226	South	1		
Eaus0227	South	1		
Eaus0228	South	1		
Eaus0229	South	1		
Eaus0230	South	1		
Eaus0231	South	1		
Eaus0232	South	1		
Eaus0233	South	1		
Eaus0234	South	1		
Eaus0235	South	1		
Eaus0236	South	1		
Eaus0237	South	1		
Eaus0238	South	1		
Eaus0239	South	1		
Eaus0240	South	1		
Eaus0241	South	1		
Eaus0242	South	1		
Eaus0243	South	1		
Eaus0244	South	1		
Eaus0245	South	1		
Eaus0246	South	1		
Eaus0247	South	1		
Eaus0248	South	1		
Eaus0249	South	1		
Eaus0250	South	1		
Eaus0251	South	1		
Eaus0252	South	1		
Eaus0253	South	1		
Eaus0254	South	1		
Eaus0255	South	1		
Eaus0256	South	1		
Eaus0257	South	1		
Eaus0258	South	1		
Eaus0259	South	1		
Eaus0260	South	1		
Eaus0261	South	1		
Eaus0262	South	1		
Eaus0263	South	1		
Eaus0264	South	1		
Eaus0265	South	1		
Eaus0266	South	1		
Eaus0267	South	1		
Eaus0268	South	1		
Eaus0269	South	1		
Eaus0270	South	1		
Eaus0271	South	1		
Eaus0272	South	1		
Eaus0273	South	1		
Eaus0274	South	1		
Eaus0275	South	1		
Eaus0276	South	1		
Eaus0277	South	1		
Eaus0278	South	1		
Eaus0279	South	1		
Eaus0280	South	1		
Eaus0281	South	1		
Eaus0282	South	1		
Eaus0283	South	1		
Eaus0284	South	1		
Eaus0285	South	1		
Eaus0286	South	1		
Eaus0287	South	1		
Eaus0288	South	1		
Eaus0289	South	1		
Eaus0290	South	1		
Eaus0291	South	1		
Eaus0292	South	1		
Eaus0293	South	1		
Eaus0294	South	1		
Eaus0295	South	1		
Eaus0296	South	1		
Eaus0297	South	1		
Eaus0298	South	1		
Eaus0299	South	1		
Eaus0300	South	1		
Eaus0301	South	1		
Eaus0302	South	1		
Eaus0303	South	1		
Eaus0304	South	1		
Eaus0305	South	1		
Eaus0306	South	1		
Eaus0307	South	1		
Eaus0308	South	1		
Eaus0309	South	1		
Eaus0310	South	1		
Eaus0311	South	1		
Eaus0312	South	1		
Eaus0313	South	1		
Eaus0314	South	1		
Eaus0315	South	1		
Eaus0316	South	1		
Eaus0317	South	1		
Eaus0318	South	1		
Eaus0319	South	1		
Eaus0320	South	1		
Eaus0321	South	1		
Eaus0322	South	1		
Eaus0323	South	1		
Eaus0324	South	1		
Eaus0325	South	1		
Eaus0326	South	1		
Eaus0327	South	1		
Eaus0328	South	1		
Eaus0329	South	1		
Eaus0330	South	1		
Eaus0331	South	1		
Eaus0332	South	1		
Eaus0333	South	1		
Eaus0334	South	1		
Eaus0335	South	1		
Eaus0336	South	1		
Eaus0337	South	1		
Eaus0338	South	1		
Eaus0339	South	1		
Eaus0340	South	1		
Eaus0341	South	1		
Eaus0342	South	1		
Eaus0343	South	1		
Eaus0344	South	1		
Eaus0345	South	1		
Eaus0346	South	1		
Eaus0347	South	1		
Eaus0348	South	1		
Eaus0349	South	1		
Eaus0350	South	1		
Eaus0988	South	2	EU290462	
Eaus0989	South	2	EU290463	
Eaus0990	South	2	EU290464	
Eaus0991	South	2	EU290465	
Eaus0992	South	2	EU290466	
Eaus0993	South	2	EU290467	
Eaus0994	South	2	EU290468	
Eaus0995	South	2	EU290469	
Eaus0996	South	2	EU290470	
Eaus0997	South	2	EU290471	
Eaus0998	South	2	EU290472	
Eaus0999	South	2	EU290473	
Eaus1000	South	2	EU290474	
Eaus1001	South	2	EU290475	
Eaus1002	South	2	EU290476	
Eaus1003	South	2	EU290477	
Eaus1004	South	2	EU290478	
Eaus1005	South	2	EU290479	
Eaus1006	South	2	EU290480	
Eaus1007	South	2	EU290481	
Eaus1008	South	2	EU290482	
Eaus1009	South	2	EU290483	
Eaus1010	South	2	EU290484	
Eaus1011	South	2	EU290485	
Eaus1012	South	2	EU290486	
Eaus1013	South	2	EU290487	
Eaus1014	South	2	EU290488	
Eaus1015	South	2	EU290489	
Eaus1016	South	2	EU290490	
Eaus1017	South	2	EU290491	
Eaus1018	South	2	EU290492	
Eaus1019	South	2	EU290493	
Eaus1020	South	2	EU290494	
Eaus1021	South	2	EU290495	
Eaus1022	South	2	EU290496	
Eaus1023	South	2	EU290497	
Eaus1024	South	2	EU290498	
Eaus1025	South	2	EU290499	
Eaus1026	South	2	EU290500	
Eaus1027	South	2	EU290501	
