Species	Balaena mysticetus			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	454			
No. of DNA sequences	395			
				
Source_referencess		Sample areas	Habitat	Links to source data files
1	This study	Arctic	Spring feeding habitat	NA
				
Migrate data file name	Bmysticetus_395mtDNA_454bp_20170828_Migrate_1pop.txt			
Results figure(s)	3, 4, 5, 6, S1 & S5			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source		
Bmys0246	North	1		
Bmys0247	North	1		
Bmys0248	North	1		
Bmys0249	North	1		
Bmys0250	North	1		
Bmys0251	North	1		
Bmys0252	North	1		
Bmys0253	North	1		
Bmys0254	North	1		
Bmys0255	North	1		
Bmys0256	North	1		
Bmys0257	North	1		
Bmys0258	North	1		
Bmys0259	North	1		
Bmys0260	North	1		
Bmys0261	North	1		
Bmys0262	North	1		
Bmys0263	North	1		
Bmys0264	North	1		
Bmys0265	North	1		
Bmys0266	North	1		
Bmys0267	North	1		
Bmys0268	North	1		
Bmys0269	North	1		
Bmys0270	North	1		
Bmys0271	North	1		
Bmys0272	North	1		
Bmys0273	North	1		
Bmys0274	North	1		
Bmys0275	North	1		
Bmys0276	North	1		
Bmys0277	North	1		
Bmys0278	North	1		
Bmys0279	North	1		
Bmys0280	North	1		
Bmys0281	North	1		
Bmys0282	North	1		
Bmys0283	North	1		
Bmys0284	North	1		
Bmys0285	North	1		
Bmys0286	North	1		
Bmys0287	North	1		
Bmys0288	North	1		
Bmys0289	North	1		
Bmys0290	North	1		
Bmys0291	North	1		
Bmys0292	North	1		
Bmys0293	North	1		
Bmys0294	North	1		
Bmys0295	North	1		
Bmys0296	North	1		
Bmys0297	North	1		
Bmys0298	North	1		
Bmys0299	North	1		
Bmys0300	North	1		
Bmys0301	North	1		
Bmys0302	North	1		
Bmys0303	North	1		
Bmys0304	North	1		
Bmys0305	North	1		
Bmys0306	North	1		
Bmys0307	North	1		
Bmys0308	North	1		
Bmys0309	North	1		
Bmys0310	North	1		
Bmys0311	North	1		
Bmys0312	North	1		
Bmys0313	North	1		
Bmys0314	North	1		
Bmys0315	North	1		
Bmys0316	North	1		
Bmys0317	North	1		
Bmys0318	North	1		
Bmys0319	North	1		
Bmys0320	North	1		
Bmys0321	North	1		
Bmys0322	North	1		
Bmys0323	North	1		
Bmys0324	North	1		
Bmys0325	North	1		
Bmys0326	North	1		
Bmys0327	North	1		
Bmys0328	North	1		
Bmys0329	North	1		
Bmys0330	North	1		
Bmys0331	North	1		
Bmys0332	North	1		
Bmys0333	North	1		
Bmys0334	North	1		
Bmys0335	North	1		
Bmys0336	North	1		
Bmys0337	North	1		
Bmys0338	North	1		
Bmys0339	North	1		
Bmys0340	North	1		
Bmys0341	North	1		
Bmys0342	North	1		
Bmys0343	North	1		
Bmys0344	North	1		
Bmys0345	North	1		
Bmys0346	North	1		
Bmys0347	North	1		
Bmys0348	North	1		
Bmys0349	North	1		
Bmys0350	North	1		
Bmys0351	North	1		
Bmys0352	North	1		
Bmys0353	North	1		
Bmys0354	North	1		
Bmys0355	North	1		
Bmys0356	North	1		
Bmys0357	North	1		
Bmys0358	North	1		
Bmys0359	North	1		
Bmys0360	North	1		
Bmys0361	North	1		
