Species	Meganyctiphanes norvegica			
Number of data sets	3			
				
Data set no.	1			
Locus	Mitochondrial cytochrome NADH subunit I			
DNA sequence lengh (in base pairs)	155			
No. of DNA sequences	654		NB! MtDNA haplotype DNA sequences were derived from SSCP (single-strand conformation polymorphism), which likely fails to detect some haploptypes	
				
Data source references:		Sample areas	Habitat	Links to source data files
1	Zane, L., Ostellari, L., Maccatrozzo, L., Bargelloni, L., Cuzin-Roudy, J., Buchholz, F., & Patarnello, T. (2000). Genetic differentiation in a pelagic crustacean (Meganyctiphanes norvegica: Euphausiacea) from the North East Atlantic and the Mediterranean Sea. Marine Biology, 136(2), 191–199. doi: 10.1007/s002270050676	Northeastern North Atlantic Ocean	NA	GenBank
2	Papetti, C., Zane, L., Bortolotto, E., Bucklin, A., & Patarnello, T. (2005). Genetic differentiation and local temporal stability of population structure in the euphausiid Meganyctiphanes norvegica. Marine Ecology Progress Series, 289, 225–235. doi: 10.3354/meps289225			GenBank
				
Migrate data file name	Meganyctiphanes_norvegica_654mtND1_155bp_20161012_Migrate_1pop			
Results figure(s)	4, 5, 6 & S5			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Mnor0223	Northeastern_North	2	AF150612	Haplotype A
Mnor0224	Northeastern_North	2	AF150612	Haplotype A
Mnor0225	Northeastern_North	2	AF150612	Haplotype A
Mnor0226	Northeastern_North	2	AF150612	Haplotype A
Mnor0227	Northeastern_North	2	AF150612	Haplotype A
Mnor0228	Northeastern_North	2	AF150612	Haplotype A
Mnor0229	Northeastern_North	2	AF150612	Haplotype A
Mnor0230	Northeastern_North	2	AF150613	Haplotype B
Mnor0231	Northeastern_North	2	AF150613	Haplotype B
Mnor0232	Northeastern_North	2	AF150613	Haplotype B
Mnor0233	Northeastern_North	2	AF150613	Haplotype B
Mnor0234	Northeastern_North	2	AF150613	Haplotype B
Mnor0235	Northeastern_North	2	AF150613	Haplotype B
Mnor0236	Northeastern_North	2	AF150613	Haplotype B
Mnor0237	Northeastern_North	2	AF150613	Haplotype B
Mnor0238	Northeastern_North	2	AF150613	Haplotype B
Mnor0239	Northeastern_North	2	AF150613	Haplotype B
Mnor0240	Northeastern_North	2	AF150613	Haplotype B
Mnor0241	Northeastern_North	2	AF150613	Haplotype B
Mnor0242	Northeastern_North	2	AF150613	Haplotype B
Mnor0243	Northeastern_North	2	AF150613	Haplotype B
Mnor0244	Northeastern_North	2	AF150613	Haplotype B
Mnor0245	Northeastern_North	2	AF150613	Haplotype B
Mnor0246	Northeastern_North	2	AF150613	Haplotype B
Mnor0247	Northeastern_North	2	AF150613	Haplotype B
Mnor0248	Northeastern_North	2	AF150613	Haplotype B
Mnor0249	Northeastern_North	2	AF150614	Haplotype C
Mnor0250	Northeastern_North	2	AF150621	Haplotype L
Mnor0251	Northeastern_North	2	AY850555	Haplotype O
Mnor0252	Northeastern_North	2	AY850547	Haplotype Q
Mnor0253	Northeastern_North	2	AY850547	Haplotype Q
Mnor0254	Northeastern_North	1	AF150612	Haplotype A
Mnor0255	Northeastern_North	1	AF150612	Haplotype A
Mnor0256	Northeastern_North	1	AF150612	Haplotype A
Mnor0257	Northeastern_North	1	AF150612	Haplotype A
Mnor0258	Northeastern_North	1	AF150612	Haplotype A
Mnor0259	Northeastern_North	1	AF150612	Haplotype A
Mnor0260	Northeastern_North	1	AF150612	Haplotype A
Mnor0261	Northeastern_North	1	AF150612	Haplotype A
Mnor0262	Northeastern_North	1	AF150612	Haplotype A
Mnor0263	Northeastern_North	1	AF150612	Haplotype A
Mnor0264	Northeastern_North	1	AF150612	Haplotype A
Mnor0265	Northeastern_North	1	AF150612	Haplotype A
Mnor0266	Northeastern_North	1	AF150612	Haplotype A
Mnor0267	Northeastern_North	1	AF150612	Haplotype A
Mnor0268	Northeastern_North	1	AF150612	Haplotype A
Mnor0269	Northeastern_North	1	AF150612	Haplotype A
Mnor0270	Northeastern_North	1	AF150612	Haplotype A
Mnor0271	Northeastern_North	1	AF150612	Haplotype A
Mnor0272	Northeastern_North	1	AF150612	Haplotype A
Mnor0273	Northeastern_North	1	AF150612	Haplotype A
Mnor0274	Northeastern_North	1	AF150612	Haplotype A
Mnor0275	Northeastern_North	1	AF150612	Haplotype A
Mnor0276	Northeastern_North	1	AF150612	Haplotype A
Mnor0277	Northeastern_North	1	AF150612	Haplotype A
Mnor0278	Northeastern_North	1	AF150613	Haplotype B
Mnor0279	Northeastern_North	1	AF150613	Haplotype B
Mnor0280	Northeastern_North	1	AF150613	Haplotype B
Mnor0281	Northeastern_North	1	AF150613	Haplotype B
Mnor0282	Northeastern_North	1	AF150613	Haplotype B
Mnor0283	Northeastern_North	1	AF150613	Haplotype B
Mnor0284	Northeastern_North	1	AF150613	Haplotype B
Mnor0285	Northeastern_North	1	AF150613	Haplotype B
Mnor0286	Northeastern_North	1	AF150613	Haplotype B
Mnor0287	Northeastern_North	1	AF150613	Haplotype B
Mnor0288	Northeastern_North	1	AF150613	Haplotype B
Mnor0289	Northeastern_North	1	AF150613	Haplotype B
Mnor0290	Northeastern_North	1	AF150613	Haplotype B
Mnor0291	Northeastern_North	1	AF150613	Haplotype B
Mnor0292	Northeastern_North	1	AF150613	Haplotype B
Mnor0293	Northeastern_North	1	AF150614	Haplotype C
Mnor0294	Northeastern_North	1	AF150621	Haplotype L
Mnor0295	Northeastern_North	1	AF150621	Haplotype L
Mnor0296	Northeastern_North	1	AF150621	Haplotype L
Mnor0297	Northeastern_North	1	AF150621	Haplotype L
Mnor0298	Northeastern_North	1	AF150622	Haplotype M
Mnor0299	Northeastern_North	1	AF150623	Haplotype N
Mnor0300	Northeastern_North	2	AF150613	Haplotype B
Mnor0301	Northeastern_North	2	AF150613	Haplotype B
Mnor0302	Northeastern_North	2	AF150613	Haplotype B
Mnor0303	Northeastern_North	2	AF150613	Haplotype B
Mnor0304	Northeastern_North	2	AF150613	Haplotype B
