Species	Balaenoptera bonaerensis			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	180			
No. of DNA sequences	337			
				
Source_referencess		Sample areas	Habitat	Links to source data files
1	Pastene, L. A., Goto, M., Kanda, N., Zerbini, A. N., Kerem, D., Watanabe, K., . . . Palsbøll, P. J. (2007). Radiation and speciation of pelagic organisms during periods of global warming: the case of the common minke whale, Balaenoptera acutorostrata. Molecular Ecology, 16(7), 1481-1495. doi: 10.1111/j.1365-294X.2007.03244.x	Antarctica	Summer feeding areas	GenBank
				
Migrate data file name	Bbonaerensis_180mtDNA_337bp_20170828_Migrate_1pop.txt			
Results figure(s)	3, 4, 5, 6, S1 & S5			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Bbon0132	South	1	EF113783	Bb075
Bbon0133	South	1	EF113784	Bb076
Bbon0134	South	1	EF113785	Bb077
Bbon0135	South	1	EF113785	Bb077
Bbon0136	South	1	EF113786	Bb078
Bbon0137	South	1	EF113787	Bb079
Bbon0138	South	1	EF113788	Bb080
Bbon0139	South	1	EF113789	Bb081
Bbon0140	South	1	EF113789	Bb081
Bbon0141	South	1	EF113789	Bb081
Bbon0142	South	1	EF113789	Bb081
Bbon0143	South	1	EF113790	Bb082
Bbon0144	South	1	EF113791	Bb083
Bbon0145	South	1	EF113792	Bb084
Bbon0146	South	1	EF113793	Bb085
Bbon0147	South	1	EF113794	Bb086
Bbon0148	South	1	EF113795	Bb087
Bbon0149	South	1	EF113796	Bb088
Bbon0150	South	1	EF113797	Bb089
Bbon0151	South	1	EF113798	Bb090
Bbon0152	South	1	EF113799	Bb091
Bbon0153	South	1	EF113800	Bb092
Bbon0154	South	1	EF113801	Bb093
Bbon0155	South	1	EF113802	Bb093
Bbon0156	South	1	EF113802	Bb094
Bbon0157	South	1	EF113803	Bb095
Bbon0158	South	1	EF113804	Bb096
Bbon0159	South	1	EF113805	Bb096
Bbon0160	South	1	EF113805	Bb097
Bbon0161	South	1	EF113806	Bb098
Bbon0162	South	1	EF113807	Bb099
Bbon0163	South	1	EF113808	Bb100
Bbon0164	South	1	EF113809	Bb101
Bbon0165	South	1	EF113810	Bb102
Bbon0166	South	1	EF113811	Bb103
Bbon0167	South	1	EF113812	Bb103
Bbon0168	South	1	EF113812	Bb104
Bbon0169	South	1	EF113813	Bb105
Bbon0170	South	1	EF113814	Bb106
Bbon0171	South	1	EF113815	Bb107
Bbon0172	South	1	EF113816	Bb108
Bbon0173	South	1	EF113817	Bb109
Bbon0174	South	1	EF113818	Bb110
Bbon0175	South	1	EF113819	Bb111
Bbon0176	South	1	EF113820	Bb111
Bbon0177	South	1	EF113820	Bb112
Bbon0178	South	1	EF113821	Bb113
Bbon0179	South	1	EF113822	Bb114
Bbon0180	South	1	EF113823	Bb115
